#Depth	density
0.0	1.02
3.0	1.02
3.0	2.0
3.3	2.0
3.3	2.6
10.0	2.6
10.0	2.92
18.0	2.92
18.0	3.641
43.0	3.5801
80.0	3.502
80.0	3.502
120.0	3.4268
165.0	3.3711
210.0	3.3243
210.0	3.3243
260.0	3.3663
310.0	3.411
360.0	3.4577
410.0	3.5068
410.0	3.9317
460.0	3.9273
510.0	3.9233
560.0	3.9218
610.0	3.9206
660.0	3.9201
660.0	4.2387
710.0	4.2986
760.0	4.3565
809.5	4.4118
859.0	4.465
908.5	4.5162
958.0	4.5654
1007.5	4.5926
1057.0	4.6198
1106.5	4.6467
1156.0	4.6735
1205.5	4.7001
1255.0	4.7266
1304.5	4.7528
1354.0	4.779
1403.5	4.805
1453.0	4.8307
1502.5	4.8562
1552.0	4.8817
1601.5	4.9069
1651.0	4.9321
1700.5	4.957
1750.0	4.9817
1799.5	5.0062
1849.0	5.0306
1898.5	5.0548
1948.0	5.0789
1997.5	5.1027
2047.0	5.1264
2096.5	5.1499
2146.0	5.1732
2195.5	5.1963
2245.0	5.2192
2294.5	5.242
2344.0	5.2646
2393.5	5.287
2443.0	5.3092
2492.5	5.3313
2542.0	5.3531
2591.5	5.3748
2640.0	5.3962
2690.0	5.4176
2740.0	5.4387
2740.0	5.6934
2789.67	5.7196
2839.33	5.7458
2891.5	5.7721
2891.5	9.9145
2939.33	9.9942
2989.66	10.0722
3039.99	10.1485
3090.32	10.2233
3140.66	10.2964
3190.99	10.3679
3241.32	10.4378
3291.65	10.5062
3341.98	10.5731
3392.31	10.6385
3442.64	10.7023
3492.97	10.7647
3543.3	10.8257
3593.64	10.8852
3643.97	10.9434
3694.3	11.0001
3744.63	11.0555
3794.96	11.1095
3845.29	11.1623
3895.62	11.2137
3945.95	11.2639
3996.28	11.3127
4046.62	11.3604
4096.95	11.4069
4147.28	11.4521
4197.61	11.4962
4247.94	11.5391
4298.27	11.5809
4348.6	11.6216
4398.93	11.6612
4449.26	11.6998
4499.6	11.7373
4549.93	11.7737
4600.26	11.8092
4650.59	11.8437
4700.92	11.8772
4751.25	11.9098
4801.58	11.9414
4851.91	11.9722
4902.24	12.0001
4952.58	12.0311
5002.91	12.0593
5053.24	12.0867
5103.57	12.1133
5153.5	12.1391
5153.5	12.7037
5204.61	12.7289
5255.32	12.753
5306.04	12.776
5356.75	12.798
5407.46	12.8188
5458.17	12.8387
5508.89	12.8574
5559.6	12.8751
5610.31	12.8917
5661.02	12.9072
5711.74	12.9217
5762.45	12.9351
5813.16	12.9474
5863.87	12.9586
5914.59	12.9688
5965.3	12.9779
6016.01	12.9859
6066.72	12.9929
6117.44	12.9988
6168.15	13.0036
6218.86	13.0074
6269.57	13.01
6320.29	13.0117
6371.0	13.0122
